Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2015Jan,141421473.87,97.20,148140298.18,89.20,22750425.48,99.92,35498519.58,97.57,82648825.67,98.56,102121969.33,98.70,16941453.42,104.30,6142269.90,7046512.12,20289168.51,9213011.29,45830517.13,12471520.60,143387716.29,98.63,3584476.08,29103254.87,7616782.09,3364426.76,14242196.14,8251077.25,34856319.67,101.22,47754638.19,98.93,78723924.03,99.70,138552799.13,99.99,7998175.10,9594318.76,11024865.61,11163234.92,39329999.52,22173662.42,164417104.24,99.38,3495687.09,31660960.39,4841013.42,5015843.66,21870078.06,10509545.13
2014Dec,138129776.51,93.40,162240846.97,97.90,21484190.52,94.36,35404479.51,99.36,84436304.56,97.79,99409804.54,97.18,19996242.64,101.60,6600597.51,7007307.94,19228302.01,10160010.22,45759077.75,12919411.61,143371193.49,97.41,3561604.02,28551212.65,8520928.38,3358646.97,13038293.35,7444334.20,34379189.20,100.56,48408397.89,100.07,79583087.58,101.61,138349230.63,100.77,8119902.36,9199108.84,11378776.89,10623749.50,39744495.30,21792484.95,166850993.32,101.17,3408216.46,32144431.89,5777231.67,5242782.28,21804300.60,12544155.60
2014Nov,143647981.99,94.90,163720308.29,98.10,21255783.80,97.34,34039070.58,95.43,86005970.56,94.81,97569353.76,96.48,21730185.04,92.57,6378050.30,7008750.86,18491412.49,10539504.78,43879521.59,13154157.61,143987818.96,95.60,3625597.90,28483281.29,9733298.72,3287471.54,13048338.12,8360964.25,33918263.25,99.73,48251401.90,98.91,78079175.35,98.68,135336111.08,98.58,7779202.40,8733505.66,11000489.74,10933560.85,39370083.35,21565214.71,163434791.64,98.49,3516019.59,31618607.80,5969654.47,5122754.24,20911185.66,11409002.44
2014Oct,157762725.48,102.70,180325505.17,108.30,21494719.03,95.91,34386382.96,97.12,88924285.09,95.85,97384569.88,96.00,24281932.66,94.89,6486806.79,7069178.97,18434402.52,10879888.41,44238760.59,13417070.50,146619261.76,95.91,3735239.40,28688524.27,10072614.76,3188822.95,13731893.22,9014579.33,33956994.63,100.89,48146932.04,98.70,79182769.91,100.08,135739174.76,99.49,7835849.58,8831173.78,11440742.35,11141925.53,39975439.33,21433342.32,164834688.39,99.54,3615315.13,31292309.29,6327485.81,5110862.28,20921614.60,11885989.46
2014Sep,154520361.21,100.80,172075943.54,103.20,21474043.57,99.10,34853956.92,99.60,90679700.00,96.85,98713824.29,98.87,24987423.30,92.06,6682685.30,6576231.81,19405992.03,11508392.14,45983059.36,13247102.15,149198645.81,97.79,3781293.38,28606492.12,10498066.84,3259380.97,13318729.40,9508565.53,34080866.13,101.57,47447233.32,96.56,79769263.77,100.62,135734779.47,99.49,7428594.78,9165943.05,11363424.43,11136114.35,39902088.98,21203350.45,165930708.90,99.99,3680742.61,31366295.57,6554591.41,4880099.76,21586295.20,12829589.45
2014Aug,133297796.93,87.20,140184219.12,84.30,20264304.80,94.25,33780457.21,96.95,89545554.40,95.55,95562392.62,96.22,25347638.17,91.20,6517566.28,6954105.11,18286402.78,11431452.86,44055007.20,12948703.47,146573877.60,96.26,3737198.13,27590634.18,11589095.51,3125746.59,14073795.99,8066558.69,31531422.11,93.48,45364282.39,93.78,79130821.13,99.71,131769480.90,96.98,7605796.05,9687291.20,10878349.86,10409707.74,38312172.26,20767238.19,160247113.30,96.96,3599535.62,30377113.57,6377325.92,4858473.13,19853232.65,11756040.46
2014Jul,153220863.27,100.30,173464672.92,104.80,20666150.36,99.89,33700551.17,97.56,91346235.12,96.50,96891295.44,99.05,26196120.66,90.74,6800961.00,7143970.05,18287252.31,11381286.28,44721742.95,13141027.51,148314432.36,97.50,3787781.80,28611786.26,11057841.91,3270935.75,13511427.76,8695089.19,32491591.79,97.25,46812854.98,96.87,78287663.68,99.05,132673038.29,98.27,7465474.83,8935653.48,11223432.03,10352760.88,39240610.59,21416439.92,161335379.90,97.92,3556252.85,31342698.22,6820093.17,4582245.09,19587934.34,11594391.10
2014Jun,147160450.90,96.00,162617854.27,98.40,21447259.96,99.31,33621205.90,98.73,91348887.90,96.41,97481163.27,99.44,26055713.59,89.59,7118540.58,6975872.49,18894542.01,11350932.01,44066132.62,13662664.76,149074439.25,97.71,3616056.15,28372186.90,12102184.83,3290894.16,13711488.98,8328331.51,32338842.63,96.69,46162088.82,95.83,79360655.12,100.71,132551940.85,98.38,7786688.68,9323751.67,10972600.61,11043842.25,38172071.18,21185926.72,162202065.60,98.65,3600716.20,30811202.42,6637659.69,4704884.00,20144147.23,12457784.87
2014May,145672846.93,95.60,159962875.10,97.70,20374751.71,95.40,33104710.58,96.57,90161404.90,95.86,92874064.29,94.94,28185528.99,99.27,6308538.54,6997016.99,17549550.87,11098830.88,43711332.43,13438611.92,146172436.54,96.28,3555051.24,27441473.28,11956634.60,3209516.26,12530495.70,9494124.64,32866400.10,98.68,45791677.49,96.48,77648277.15,99.14,131061170.41,98.10,7726433.25,8953678.60,10927252.41,11056867.76,37955510.15,20720054.02,159678875.60,97.93,3375478.76,29780568.19,6885108.20,4713199.24,20276600.50,11468768.84
2014Apr,144766039.40,95.30,159461440.87,97.70,20053246.34,93.58,32932615.79,96.71,89001703.88,94.79,93975733.32,96.38,26266332.62,93.49,6681284.90,7091135.00,17801929.54,10619864.82,43142951.70,13576751.47,144435341.41,95.32,3578042.35,27896724.77,12051399.92,3190599.13,12682011.51,7224580.67,31909928.42,96.22,45630421.97,96.35,78076206.76,100.19,131262840.60,98.78,7550198.71,8846589.44,10824277.58,10637864.29,38455878.56,20615790.94,159013226.02,97.93,3690444.87,30227812.50,7260608.01,4718576.58,19622600.31,10717226.86
2014Mar,147989840.55,95.90,164192618.40,100.10,20298316.95,92.85,32633427.03,95.30,90545004.13,94.96,93904982.02,95.27,26158018.02,91.50,6395408.88,7053526.23,18302690.79,11086018.95,43802922.36,13695980.52,145009189.70,94.40,3703863.00,27847816.11,11772941.59,3165504.52,12066213.45,7964845.43,31665561.96,95.68,45396421.57,95.14,77447878.14,98.78,130191924.42,97.35,7735985.88,9081469.82,10602565.37,10941135.04,37561926.63,20704748.84,158509644.90,97.21,3466130.30,30049627.44,7189374.96,4735333.66,19299599.88,11219032.88
2014Feb,139557111.71,90.20,154094362.52,94.00,20144020.84,92.76,32580636.22,94.53,90277059.65,94.18,93364386.97,94.82,27240361.69,93.84,6351600.86,6921589.62,17406632.98,11131967.26,42412767.49,13468536.11,145475979.87,94.33,3646743.65,27677940.76,12425562.17,3070411.27,12942667.57,9035691.60,31983522.53,97.37,46237766.99,97.21,78546726.74,99.88,131635641.28,98.64,8313659.96,9007259.22,10898171.30,11746188.93,37781461.41,20940086.69,160326242.57,98.32,3700715.20,30094712.71,7242817.17,4838666.93,19339884.14,10989575.44
2014Jan,148721432.04,96.70,148365434.94,90.40,20019856.58,94.16,32257191.48,93.89,92183056.66,96.25,92516008.86,94.27,28196540.37,97.97,6636715.55,6792969.39,17187199.70,11402792.93,43533504.88,13543767.89,146928725.60,95.65,3783068.04,27851684.20,12278259.62,3116888.32,12703751.39,9120626.86,31997265.83,97.62,46127599.43,96.67,78218215.22,99.36,130371907.60,97.48,7794324.66,8984958.20,10843055.96,10819513.03,37928854.29,20733571.10,159788130.58,97.89,3966519.65,30536061.92,7443346.28,5030185.27,18867324.35,11618460.49
2013Dec,136023953.16,87.60,149682427.63,90.90,19710589.66,92.29,32506555.88,94.11,91005522.97,94.60,91929178.03,93.47,27403306.57,93.49,6806760.31,6623498.24,17703373.84,10795785.30,43038123.60,13489226.80,145200985.42,94.06,3812284.76,27222416.22,13213619.27,3176920.12,12480560.98,8460847.57,31624871.33,95.05,45112075.82,94.55,78393041.35,99.48,128838661.30,96.13,7556272.17,9280094.47,10115573.63,10643295.81,37300758.35,20279949.96,159226094.81,97.35,3723060.84,29695611.06,7177297.35,4765709.05,18577907.52,14124976.69
2013Nov,145149805.54,94.30,161904193.72,98.60,20161423.51,95.90,32489179.16,94.67,89499736.01,93.78,91996637.52,94.05,27062166.61,94.66,6555261.14,6841983.62,16919405.01,10272351.00,42251851.75,13308036.27,144278098.17,94.29,3762199.33,27254485.26,11952691.91,3119328.03,13710630.65,8899505.73,32663319.78,99.23,44900772.96,94.30,78558526.43,99.99,131482818.27,98.52,7587331.25,9410055.50,10594253.66,10330622.24,37904200.28,20734709.13,159998716.73,98.23,3703011.11,29561686.40,7385065.98,5113233.11,19534706.46,12310394.53
2013Oct,156403070.59,100.40,173043295.10,105.70,19422664.55,90.13,31477084.08,91.93,91450972.37,94.47,90711164.35,92.13,29001026.41,98.12,6620839.25,6902190.45,16653310.40,11143696.68,43005040.62,13047249.18,144250289.14,93.18,3603128.56,27019999.13,12234562.32,2972732.39,13329973.44,7941617.42,32004871.00,97.86,44911988.56,94.13,78155338.76,99.58,129431872.03,97.19,8134504.70,9100159.04,10329318.35,10170963.01,37139449.81,20400477.76,158271275.55,97.16,3560232.63,29487078.94,7422662.78,4753446.80,18903915.87,12675581.19
2013Sep,147838914.49,94.30,158529904.81,97.00,20178749.56,93.54,32479129.72,94.44,92012039.32,94.22,92269569.68,93.61,27992749.84,92.66,7057767.85,7004836.43,17210987.48,11259921.51,43213428.95,13218601.19,147100040.88,94.38,3690612.50,27284642.74,13108063.14,3042295.67,13195648.05,8652802.23,31340925.63,95.93,45105771.25,95.24,77990245.53,99.07,128425818.67,96.85,8023981.18,8922244.22,10155073.87,10229273.75,36713143.29,20202794.25,158260448.58,97.26,3809836.75,29314571.75,7433353.39,5133398.01,18981151.70,13422009.22
2013Aug,137527302.15,88.00,144827324.95,88.30,20578217.73,96.03,30935228.53,89.95,93138287.37,95.70,90531349.95,91.95,28777509.96,96.10,6600282.22,7036187.00,17222277.25,11816745.79,43031648.16,13800006.59,147327712.27,94.80,3581359.93,27051474.22,13275513.37,3040052.23,12441850.50,9137595.18,32248059.48,97.86,45330594.23,95.72,78291711.32,99.45,129691460.01,97.49,8336332.53,9033272.07,10892663.20,10964689.84,37672036.23,19588524.58,159091607.58,97.67,3754335.41,29191757.96,7617684.41,4927454.32,18905944.49,12680728.30
2013Jul,150675081.79,96.90,168574688.40,103.30,20163206.30,92.54,31102177.35,90.63,91800241.70,95.34,89700128.83,90.71,28265095.15,98.38,6680397.85,6735151.43,16755256.94,11552001.97,42574886.86,13492577.51,145313704.86,94.05,3443156.82,26719418.85,12521764.02,3035692.85,12904880.65,9208531.42,31896510.23,96.18,44004880.54,93.62,77187956.87,98.45,126518503.24,95.41,8234645.35,9416755.04,10069844.38,10849849.89,36589753.65,19482400.78,156502029.36,96.38,3546582.10,28564985.94,7571480.33,4895972.23,17642598.16,13361381.84
2013Jun,141958225.98,90.80,157439984.04,95.60,19784256.11,90.21,30721511.02,89.52,91706292.86,94.48,89326079.40,90.04,27561581.23,95.94,6712469.67,7073784.99,16458713.16,12330652.16,41625952.83,13651618.50,145038101.33,93.32,3648042.31,26422429.70,11538254.37,2988668.06,12768846.06,9957812.96,32029641.47,96.78,44285924.35,92.91,77138133.49,97.30,127864092.96,95.61,8155408.28,8707217.10,10009259.59,11063003.72,36609574.35,19942776.21,156467614.82,95.46,3583874.73,28662683.38,7865159.80,5134697.43,17902325.09,12468965.29
2013May,144807965.84,93.10,159394737.79,97.10,20128808.91,92.28,30687327.48,89.42,90920927.71,94.17,89893283.88,90.90,27371553.03,96.58,6712692.81,6985132.58,17494773.72,11607464.64,42789305.98,13857054.53,143948414.09,92.98,3605687.24,25827596.91,11933111.77,2977645.56,13120422.89,8036188.61,32243704.08,97.53,43726619.68,92.43,78424636.82,99.02,128623103.21,96.48,8585543.03,9080208.66,9989411.93,11429768.04,36975070.28,19449680.40,158771251.27,97.17,3574159.75,28471262.29,8180439.50,5276767.54,18335731.68,12779344.88
2013Apr,147942995.87,93.50,161932170.93,98.10,20132257.37,90.80,30508641.39,88.32,93092389.16,94.66,90572856.60,90.52,28535399.38,97.77,6654055.63,6518460.98,17567314.52,12537974.84,43499722.89,13278725.61,145826997.92,92.76,3596590.84,26518720.67,13047330.06,2961663.68,12670070.98,8068570.04,32579389.33,98.76,44639729.27,94.26,78558701.37,98.30,129661438.72,96.95,8248844.70,9620432.10,10174251.56,10742932.63,37539341.59,19377080.52,159482157.28,97.10,3686206.96,28344178.45,8145366.99,5168516.19,18947401.77,13547306.69
2013Mar,143943243.76,91.00,165773244.45,100.60,19290525.57,87.20,30049704.14,88.34,91109649.72,92.08,88512703.13,89.22,28746066.92,95.38,6693448.41,6633235.19,16773682.18,12317492.07,41160956.40,13223408.29,142349010.58,90.55,3660200.83,26053866.25,13705289.29,2959568.29,12340827.62,7168392.03,33488723.39,102.17,44196750.01,93.93,80472132.38,100.70,130506414.45,98.21,9008697.08,9286356.23,10286714.52,11103690.29,38181397.89,19481183.70,161130679.21,98.51,3740096.43,28132714.13,8182683.00,5075804.14,19496987.35,12949447.65
2013Feb,139908988.26,88.10,149084495.54,90.40,19072152.06,88.60,30480698.61,89.11,94326157.30,94.35,88081071.24,89.26,33242899.17,106.80,6838814.65,6478100.69,16978139.66,13344518.67,42447234.34,13971845.22,146473451.65,92.73,3665135.80,25945851.08,13576228.73,3042158.50,11754926.54,9026335.96,31002208.87,95.10,44015130.80,93.34,77443976.65,97.00,126320250.86,95.16,7980447.62,9106861.42,9696846.64,11692557.63,36685816.25,18758662.12,155975716.02,95.36,3586381.73,28021941.19,8259345.91,5081502.12,18316942.24,11997167.54
2013Jan,152333161.30,96.00,147100817.93,89.10,20763782.13,95.82,31028929.67,90.12,95172364.69,95.69,90783317.47,91.41,31414326.14,103.80,6886819.31,6823429.46,17126111.65,13138283.40,43529928.59,14134452.86,149260828.92,94.58,3758652.65,26008895.41,13883038.98,3042696.25,12579334.88,9356996.51,31992267.16,97.82,44547803.59,94.27,77939876.21,97.24,126327695.06,94.76,7987199.31,9459403.25,9872447.30,11397517.16,36899426.35,18990103.86,157475591.55,95.98,3667187.72,28384071.49,8274709.24,5285768.86,18075418.54,12732198.92
2012Dec,134033761.92,83.60,144331329.41,86.70,20079804.70,92.97,31076089.65,89.87,94817208.49,94.11,90065086.51,90.01,30631224.13,100.34,7183590.47,6472082.33,17495360.67,13583199.68,44119178.88,13842668.95,147960655.79,92.97,3785852.46,25307272.56,13122653.62,2879895.39,12291463.50,9250305.57,32585839.66,99.20,44132883.50,92.59,78221385.97,97.11,127116369.30,94.85,8353276.09,9397563.80,9448390.93,11222386.57,37403844.21,19443308.81,157934911.26,95.66,3539487.47,27947122.24,8271445.41,4976073.56,18028084.16,12866320.61
2012Nov,152659084.91,95.30,165259134.74,99.80,19953499.95,92.29,30621594.36,88.55,94783566.15,94.32,89433515.13,89.48,31128837.96,101.62,7378051.93,6811758.61,16950468.04,13241081.12,43559416.60,13829741.73,147084425.40,92.50,3969760.54,25632237.81,12699295.13,2850728.88,12092607.12,9058619.93,32474948.50,99.94,42722511.42,90.31,78472849.75,97.42,126929100.64,95.11,8145004.93,9904466.55,9634767.84,10311066.75,37363804.24,19079721.88,157103942.61,95.55,3800363.67,27915515.40,8300526.43,5172857.97,18096118.80,12880580.10
2012Oct,161447944.79,100.30,171067145.29,103.10,20330975.29,94.24,31455445.73,91.46,96068673.66,94.63,91099400.56,91.53,31405510.88,100.55,7327664.23,6842126.31,17131446.74,12898292.32,44011390.68,13550885.89,149762390.19,93.74,3840924.97,26538812.79,13394789.41,2998025.88,12987389.43,9224813.34,31779509.29,98.12,43355099.76,91.06,79087743.73,98.18,126121599.42,94.61,8077599.40,9535623.79,9646224.85,10705866.54,36075986.02,19525864.19,157939398.79,95.96,3858668.37,28401233.76,7954569.18,5071150.04,18543002.43,14213031.17
2012Sep,145410580.90,88.80,154285910.49,92.60,19783126.95,89.91,30785827.79,88.07,95413408.18,92.42,90704917.70,89.98,29949852.14,92.60,7365813.35,7021924.37,17450799.13,13436457.55,43814750.88,13826365.51,148645601.15,91.50,4044070.04,25910426.95,12900930.25,2927420.01,12790450.09,8441647.76,32456249.17,98.60,43973476.11,91.77,78625009.74,97.41,128462409.40,95.85,8105622.21,9742096.45,9859401.19,10799535.76,37614033.73,19154880.30,158377012.76,95.64,3778730.86,27910816.16,8129375.99,5116207.42,19532710.05,12100250.18
2012Aug,148149169.08,90.40,153398046.94,91.60,20842784.57,94.72,31638143.21,89.64,99346233.55,96.39,92869825.05,91.45,31337595.70,98.83,7814791.37,7362174.39,18086811.12,14197882.43,45415951.81,13852678.39,154456525.38,94.90,4040222.28,26396206.73,12796429.05,2869012.80,13388595.04,10409522.66,33263824.39,100.41,45127215.69,93.98,80577418.89,99.34,132146189.37,97.98,8428864.80,9831333.47,10060851.37,10417154.07,37804027.58,20114425.33,162681925.15,97.83,3879610.94,28713966.67,8267569.42,5392751.88,20088420.19,13514046.90
2012Jul,149698684.96,94.10,163185952.40,98.50,20991679.13,95.09,31247056.07,89.78,93679149.00,94.59,92132525.49,91.59,27627339.42,96.16,7729529.96,6923786.62,18474211.85,12556846.56,44256244.98,14419775.42,148405247.27,93.86,4103093.46,25764923.28,11480630.45,2852003.40,13620440.18,8891628.20,32093342.96,97.29,43681468.63,91.94,77764382.93,96.92,128042857.75,95.54,7819539.75,9425771.12,9941063.33,10361561.90,36434369.63,18899019.63,157108769.37,95.46,3886085.13,28174222.53,8076729.74,4892106.74,19289711.08,14056115.49
2012Jun,149684006.49,94.10,162596811.08,98.60,21613499.56,97.91,30814329.98,89.60,94424214.38,94.94,92121516.78,91.87,28660410.56,98.67,7268623.97,6799612.81,18730909.69,11996595.67,47288165.71,13000536.10,149328307.00,94.36,4181434.02,25479724.43,11736975.47,2868439.38,12886398.08,10035459.44,32333790.54,98.65,43177964.01,91.96,78312221.86,97.51,128073729.82,95.97,8207116.81,9535152.80,10668862.23,10118792.27,38073369.45,18570081.37,157470867.44,96.07,3994788.52,28121746.62,8220503.77,4888221.47,19129929.32,12545551.53
2012May,153152065.49,96.50,159706090.48,97.00,20775323.13,97.71,31371947.73,92.94,96663068.21,95.86,94139085.69,96.13,29439926.27,93.26,7726543.79,6788402.74,19082313.01,13180162.86,45662466.55,14049421.61,150904761.99,95.44,4403654.71,26362456.87,12575612.27,2902190.24,13042585.78,8605227.26,32578589.28,99.93,43407217.34,92.55,77998694.38,97.21,128474495.15,96.58,8393676.61,9978087.32,10132980.74,10382658.45,36647275.21,19387310.55,157144643.72,95.97,3790216.84,28630747.91,7916564.62,4963905.74,19396164.77,11315529.30
2012Apr,145363508.55,90.80,148611111.29,90.40,20182966.86,94.18,30625605.53,91.55,97285053.98,95.27,91479864.08,93.42,31460945.44,95.75,7616169.98,6448999.55,18695965.57,13042522.46,45971836.23,13954992.91,150421515.56,94.42,4133929.26,25539636.58,12876852.08,2922245.35,12960144.96,8969277.53,31917432.04,99.74,42798521.77,90.95,76361776.23,95.17,125864123.98,95.23,8156013.25,9769962.59,10077031.77,10609767.15,36042206.78,19244719.11,154951795.12,94.93,3729108.56,27977501.55,8056626.75,4931157.02,17899182.12,12240732.30
2012Mar,158959773.20,98.40,166340294.77,101.30,19958254.84,93.13,30774085.73,91.27,98980607.54,96.04,89654056.19,91.15,33747026.93,101.08,7480185.41,6500029.98,16865450.94,13537465.26,44577991.79,13819527.93,151356344.27,94.30,4204115.98,25839321.44,13722961.35,2903839.30,12984361.03,10046782.68,30842411.88,95.64,42099921.55,89.96,77717910.60,96.86,125060164.73,94.62,8071716.15,9718847.56,10145189.74,11055147.78,36024198.94,18441110.29,154157813.70,94.44,3494773.03,28122148.20,8011468.36,4970050.88,17792646.15,11869876.64
2012Feb,149904653.05,93.10,150898318.66,91.60,20202633.35,92.82,31462236.33,92.90,98952293.32,96.82,91780032.22,92.81,33188543.82,103.46,7760306.70,6833982.39,18143268.13,13634901.28,46254165.39,14416116.67,152671331.30,95.39,4315109.22,25699480.39,13334634.65,2875178.73,12513386.63,9205539.66,31971954.96,99.58,42124841.48,89.23,77423610.80,96.40,124438666.14,93.95,7666550.25,9700291.04,10817313.00,9821380.73,36616098.79,18712148.23,154546893.25,94.48,3574719.41,28232115.92,7877629.05,4647911.95,18511709.44,12789722.71
2012Jan,149054823.44,93.80,140151474.91,86.00,19716551.30,92.01,30744655.45,89.89,94330934.47,94.19,89931934.11,91.04,30920974.84,101.40,7625917.16,6761856.53,17766620.20,12423646.27,45027192.67,13956541.73,147553273.80,93.32,4217995.35,25498871.36,12423006.93,2836561.09,12524210.24,8426727.40,31293888.64,97.68,40917005.02,88.10,77070064.64,96.92,123404053.73,93.87,7772930.88,9721779.34,10288006.25,9630042.00,36138319.44,18781748.55,151954305.86,93.87,3496517.88,27741401.07,7506056.19,4793794.70,18827372.52,11103486.48
2011Dec,141196837.58,90.10,148518777.31,92.10,19540981.15,93.06,30603113.11,91.79,93593079.81,94.59,90010077.55,92.93,27940746.77,94.87,7566532.46,6641171.02,17035814.17,10338444.43,44282476.29,13828926.52,145314923.90,93.50,4314881.26,25939794.46,12001552.77,2878001.30,11935180.80,9751522.95,29838477.56,92.94,40819196.14,89.35,74590366.34,95.23,123271315.50,94.58,7750081.92,9584815.61,9786435.48,9528840.78,34873307.48,18015814.47,148924337.65,93.07,3343077.97,27745593.03,7632166.91,4625497.68,18183604.54,10561417.09
2011Nov,152339495.90,98.70,156280382.83,97.60,19762273.77,96.64,30558671.79,92.80,94930308.56,97.29,90490554.26,94.78,29460927.23,101.36,7478932.26,6968753.43,17538337.98,10404367.92,45721864.99,14154602.17,147222634.45,96.21,4308770.86,26123558.05,12560540.04,2861289.03,12120362.89,8839330.07,30512226.73,96.52,40512367.82,88.98,74753411.61,95.93,122373640.34,94.51,7362773.16,9303658.20,10034321.90,9644923.26,35227170.41,18480100.71,148830701.37,93.71,3447640.76,27837544.44,7475976.31,4344187.80,17881854.12,11237537.93
2011Oct,150350761.22,97.90,148768042.47,92.80,20148192.67,99.11,31031205.78,94.24,94702838.53,97.23,93060536.74,96.93,27713253.89,96.46,7605025.19,6945661.13,18314311.89,10450538.23,45975990.76,14109451.30,148189508.96,96.94,4522260.14,25692057.76,12995893.96,2869373.46,12842301.54,8633889.45,28713270.70,91.65,40091031.53,88.05,73856101.97,94.39,119259840.68,92.01,7023170.66,9439378.96,10402033.98,9335865.26,35318465.00,17974407.90,146708243.49,92.28,3618832.00,27841362.50,7158254.92,4627620.19,16528965.80,11430109.49
2011Sep,151871947.73,99.60,152503191.23,95.60,19558385.23,97.01,30818254.48,94.67,94720374.29,97.85,91266710.67,95.59,26983343.75,94.91,7603502.99,7237326.87,17794659.83,10544059.32,45717240.27,14274914.70,147153119.71,97.02,4389904.02,26133953.26,11329945.32,2799389.51,11676722.10,10013704.67,28847820.45,92.29,39815507.96,88.03,74445300.94,95.53,119374832.20,92.71,7024535.03,9863603.54,9497002.63,9854357.53,34050131.49,17937625.65,146602901.29,92.61,3400256.01,28431528.82,7359981.96,4667911.53,15918554.53,11548175.91
2011Aug,144915756.26,95.30,138397493.87,86.90,20306018.92,100.83,31418112.10,95.74,95898798.44,98.98,94879218.53,99.26,26281792.83,92.79,8029541.43,7840762.61,19241917.81,10898134.05,48077543.45,14111311.46,150153311.83,98.80,4549760.73,25945749.55,11165069.84,3016881.18,11865929.01,9168182.39,30096348.22,96.72,39934137.84,88.40,74122822.91,95.02,121415380.27,94.19,7150416.20,9722464.24,9745945.30,9242659.82,34319405.13,18240482.44,147047771.82,92.99,3405479.88,28854536.31,7210814.94,4582484.45,16997236.63,10647487.00
2011Jul,145203156.68,95.10,146470940.69,92.00,19804125.94,98.57,30224351.71,92.63,96565872.18,100.02,93479985.84,97.91,27470913.37,96.93,7794055.40,6724063.69,18278785.88,9830235.68,47710395.24,14237401.21,148913971.73,98.18,4592400.27,26061657.02,13347308.93,2967027.35,11499654.03,8573658.16,29598897.93,94.69,39181586.77,87.02,73317747.05,94.28,119766876.06,93.01,7144460.78,8924558.21,9467387.11,9451716.19,34169189.05,17789028.15,145440102.05,92.07,3239644.72,28315135.25,7217930.53,4749462.68,16336209.58,11208078.02
2011Jun,145661657.34,95.50,145055195.86,91.90,19137888.08,93.92,30400948.84,94.48,93918292.25,97.11,92314117.89,96.47,26647166.75,93.62,7312145.40,6476576.41,18980499.68,11387627.86,47175086.97,13923797.62,145577340.84,96.17,4198198.28,25825322.09,10980669.19,2976183.85,11685142.21,7664695.92,28600962.03,91.91,37955216.23,85.75,72379887.05,93.65,117148136.79,91.79,6833095.15,8543560.11,9181910.24,8989368.53,33474331.92,17887374.72,142709777.63,91.12,3152015.85,28281772.55,6978787.82,4702467.96,16514075.06,10365659.31
