Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=082bf965301e3ce1125ba4ca625a7052&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=SEC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn46&legendRef=reference
,SEC.M.I8.1000.F51100.M.1.Z01.E.Z,SEC.M.I8.1000.F51100.M.2.Z01.E.Z,SEC.M.I8.1000.F51100.M.3.Z01.E.Z,SEC.M.I8.1000.F51100.M.4.Z01.E.Z,SEC.M.I8.1000.F51100.M.I.Z01.A.Z,SEC.M.I8.1000.F51100.M.I.Z01.E.Z,SEC.M.I8.1100.F51100.M.1.Z01.E.Z,SEC.M.I8.1100.F51100.M.2.Z01.E.Z,SEC.M.I8.1100.F51100.M.3.Z01.E.Z,SEC.M.I8.1100.F51100.M.4.Z01.E.Z,SEC.M.I8.1100.F51100.M.I.Z01.A.Z,SEC.M.I8.1220.F51100.M.1.Z01.E.Z,SEC.M.I8.1220.F51100.M.2.Z01.E.Z,SEC.M.I8.1220.F51100.M.3.Z01.E.Z,SEC.M.I8.1220.F51100.M.4.Z01.E.Z,SEC.M.I8.1220.F51100.M.I.Z01.A.Z,SEC.M.I8.1235.F51100.M.1.Z01.E.Z,SEC.M.I8.1235.F51100.M.2.Z01.E.Z,SEC.M.I8.1235.F51100.M.3.Z01.E.Z,SEC.M.I8.1235.F51100.M.4.Z01.E.Z,SEC.M.I8.1235.F51100.M.I.Z01.A.Z
2001Mar,5033419.023,5134.472,1250.117,3884.355,2.370,93.529,3722254.928,2538.262,1250.117,1288.145,2.299,684124.705,2408.210,0.000,2408.210,3.851,627039.390,188.000,0.000,188.000,1.210
2001Feb,5255660.690,10169.700,9570.639,599.061,2.561,93.460,3879939.579,10121.688,9568.639,553.049,2.564,707846.268,34.012,0.000,34.012,3.613,667874.843,14.000,2.000,12.000,1.366
2001Jan,5674359.914,6606.705,14245.760,-7639.055,2.639,93.450,4202147.147,4511.906,14242.760,-9730.854,2.652,759787.922,1608.000,3.000,1605.000,3.640,712424.845,486.799,0.000,486.799,1.433
2000Dec,5554600.833,25265.004,2138.379,23126.625,2.933,93.579,4141708.557,16982.728,165.469,16817.259,3.201,723218.746,8085.116,1972.910,6112.206,3.414,689673.531,197.160,0.000,197.160,0.673
2000Nov,5589134.216,39907.575,28060.031,11847.544,2.621,93.193,4187486.312,38311.477,28022.031,10289.446,2.879,708095.889,1223.810,36.000,1187.810,2.719,693552.015,372.287,2.000,370.287,0.804
2000Oct,5800355.891,8273.939,237.407,8036.532,2.867,93.003,4361336.692,6586.835,237.001,6349.834,3.020,756072.657,751.160,0.000,751.160,2.820,682946.541,935.945,0.406,935.539,1.810
2000Sep,5782732.628,10173.572,1710.094,8463.478,2.906,92.874,4306075.797,9241.157,1599.225,7641.932,3.069,769327.162,349.700,110.869,238.831,2.962,707329.670,582.715,0.000,582.715,1.692
2000Aug,6083346.731,12671.058,2370.570,10300.488,2.903,92.745,4589645.980,11442.868,2370.570,9072.298,3.103,774109.052,1185.190,0.000,1185.190,2.963,719591.699,43.000,0.000,43.000,1.490
2000Jul,5975234.164,27242.862,5126.024,22116.839,2.931,92.586,4523350.732,20892.348,3601.024,17291.324,3.180,735576.618,5149.570,1525.000,3624.571,2.677,716306.814,1200.944,0.000,1200.944,1.581
2000Jun,5841391.733,33226.306,15763.300,17463.006,3.393,92.236,4460642.650,24121.566,15321.300,8800.266,3.694,715986.101,6610.540,410.000,6200.540,2.216,664762.982,2494.200,32.000,2462.200,2.769
2000May,5872417.645,17887.533,713.813,17173.720,3.657,91.963,4490046.189,13829.521,626.813,13202.708,4.161,715515.083,3750.000,0.000,3750.000,1.820,666856.373,308.012,87.000,221.012,2.503
2000Apr,5965959.166,22749.877,613.000,22136.877,3.447,91.699,4582275.286,21102.874,525.000,20577.874,3.852,710629.076,178.000,88.000,90.000,1.587,673054.803,1469.003,0.000,1469.003,2.840
2000Mar,6029306.146,15626.407,58.800,15567.607,3.163,91.363,4655279.625,13727.009,57.800,13669.209,3.408,704315.879,767.900,0.000,767.900,2.041,669710.642,1131.498,1.000,1130.498,2.748
2000Feb,5990732.302,9083.376,4318.659,4764.717,2.851,91.127,4672998.291,8462.008,4313.659,4148.349,3.204,696367.882,205.204,0.000,205.204,1.983,621366.129,416.165,5.000,411.165,1.674
2000Jan,5500096.011,14941.720,6495.036,8446.684,2.896,91.048,4220625.152,12978.595,27.313,12951.282,3.265,675695.058,23.000,0.000,23.000,2.052,603775.801,1940.124,6467.723,-4527.599,1.633
1999Dec,5674374.782,7837.661,2398.243,5439.419,2.431,90.912,4326889.234,5704.486,2393.243,3311.244,2.723,681046.794,1166.751,0.000,1166.751,0.475,666438.755,966.424,5.000,961.424,2.819
1999Nov,4989927.155,20305.640,248.980,20056.660,2.499,90.813,3755610.702,12572.991,215.980,12357.011,2.863,629044.299,1575.082,0.000,1575.082,0.294,605272.154,6157.567,33.000,6124.567,2.753
1999Oct,4508046.019,9516.942,1897.907,7619.035,2.095,90.411,3309324.951,7998.318,1889.907,6108.411,2.530,616910.415,1420.624,0.000,1420.624,0.138,581810.653,98.000,8.000,90.000,1.688
1999Sep,4294850.536,7878.567,2036.573,5841.994,2.012,90.251,3142112.977,6846.096,554.208,6291.888,2.430,601641.457,944.000,747.965,196.035,0.061,551096.102,88.471,734.399,-645.928,1.704
1999Aug,4292089.708,10485.527,1968.531,8516.995,1.931,90.128,3139441.187,9417.509,720.769,8696.740,2.324,607740.977,60.000,750.762,-690.762,-0.084,544907.544,1008.017,497.000,511.017,1.844
1999Jul,4281714.471,37306.862,1521.623,35785.240,1.785,89.949,3158550.244,28752.374,706.658,28045.716,2.113,589442.230,1118.935,787.965,330.970,0.111,533721.998,7435.553,27.000,7408.553,1.718
1999Jun,4313076.532,25985.568,3183.732,22801.836,1.147,89.209,3161276.880,22442.104,3013.732,19428.372,1.371,604042.441,2959.664,170.000,2789.664,-0.493,547757.211,583.800,0.000,583.800,1.582
1999May,4119790.638,13116.155,9484.344,3631.811,0.997,88.718,3000280.126,8327.509,8631.044,-303.535,1.044,586531.659,2675.941,852.300,1823.641,-0.512,532978.854,2112.704,1.000,2111.704,2.278
1999Apr,4296572.744,6012.542,2167.463,3845.079,1.001,88.643,3100419.091,2551.606,2167.463,384.143,1.175,611501.436,2716.525,0.000,2716.525,-0.827,584652.217,744.411,0.000,744.411,1.953
1999Mar,4182076.674,13371.834,15185.679,-1813.845,1.157,88.562,3020197.855,12590.008,9754.679,2835.329,1.386,590952.434,370.376,71.000,299.376,-0.819,570926.385,411.450,5360.000,-4948.550,1.952
1999Feb,4126037.029,11407.965,6001.700,5406.265,1.345,88.601,2994322.537,10349.392,5650.700,4698.692,1.383,560034.002,841.472,300.000,541.472,-0.817,571680.489,217.100,51.000,166.100,3.352
1999Jan,4134217.204,4128.380,16252.794,-12124.414,1.257,88.485,2982431.752,1241.627,7729.915,-6488.288,1.276,554421.333,62.389,8520.879,-8458.490,-0.884,597364.119,2824.364,2.000,2822.364,3.344
1998Dec,3996116.745,7639.035,862.226,6776.809,1.762,88.754,2859208.661,6449.025,231.000,6218.025,1.568,548410.940,609.399,582.226,27.173,0.825,588497.144,580.611,49.000,531.611,3.891
1998Nov,3863786.640,1959.772,227.000,1732.772,1.709,88.599,2763208.379,1391.772,164.000,1227.772,1.407,536828.460,505.000,27.000,478.000,1.033,563749.801,63.000,36.000,27.000,4.192
1998Oct,3556222.317,3277.336,64.215,3213.121,1.861,88.556,2566989.747,2417.906,48.215,2369.691,1.440,478290.863,700.860,10.000,690.860,1.861,510941.707,158.570,6.000,152.570,4.255
1998Sep,3344166.354,2995.898,941.534,2054.364,2.021,88.471,2441070.139,2650.637,118.534,2532.103,1.593,434581.957,225.090,803.000,-577.910,1.827,468514.257,120.171,20.000,100.171,4.689
1998Aug,3667586.581,3933.517,1566.675,2366.842,1.987,88.421,2631036.032,2965.256,911.675,2053.581,1.517,512568.397,495.260,4.000,491.260,2.001,523982.152,473.000,651.000,-178.000,4.654
1998Jul,4232255.293,13248.189,5035.799,8212.390,2.030,88.372,2979220.582,5096.753,503.998,4592.755,1.559,636615.399,1194.274,4499.801,-3305.527,1.967,616419.312,6957.162,32.000,6925.162,4.772
1998Jun,4154813.134,18047.957,1758.091,16289.866,1.898,88.198,2983187.752,10622.577,1285.091,9337.486,1.475,602791.380,2989.593,201.000,2788.593,2.606,568834.002,4435.786,272.000,4163.786,3.554
1998May,4029558.005,4429.122,1033.955,3395.167,1.630,87.842,2895371.962,3800.813,508.000,3292.813,1.309,610556.496,329.130,442.955,-113.825,2.198,523629.548,299.179,83.000,216.179,2.852
1998Apr,3826548.510,9569.320,182.000,9387.320,1.576,87.765,2732476.400,6168.079,129.000,6039.079,1.209,590332.491,2731.810,24.000,2707.810,2.365,503739.619,669.431,29.000,640.431,2.812
1998Mar,3808555.872,5263.706,413.780,4849.926,1.363,87.549,2731695.147,2640.438,388.780,2251.658,1.028,579026.173,291.130,12.000,279.130,1.907,497834.552,2332.138,13.000,2319.138,2.701
1998Feb,3428676.335,1531.744,116.000,1415.744,1.294,87.425,2451846.638,1286.223,95.000,1191.223,1.017,509635.787,152.521,9.000,143.521,1.897,467193.910,93.000,12.000,81.000,2.253
1998Jan,3185739.174,5922.070,117.000,5805.070,1.278,87.386,2301698.749,1414.103,82.000,1332.103,0.952,468442.825,707.167,16.000,691.167,1.906,415597.600,3800.800,19.000,3781.800,2.537
1997Dec,2997268.365,3732.040,253.694,3478.346,1.076,87.217,2177870.072,1562.428,190.694,1371.734,0.909,445752.850,878.746,32.000,846.746,1.761,373645.443,1290.866,31.000,1259.866,1.309
1997Nov,2830774.136,5513.406,113.454,5399.952,1.014,87.110,2101595.939,1708.833,82.454,1626.379,0.906,400737.732,3582.053,16.000,3566.053,1.645,328440.465,222.520,15.000,207.520,0.941
1997Oct,2725810.182,7431.547,16.884,7414.663,1.573,86.938,2026208.439,5414.171,12.884,5401.287,1.578,387373.262,520.038,2.000,518.038,0.909,312228.481,1497.338,2.000,1495.338,2.327
1997Sep,2922054.118,1793.981,1185.000,608.981,1.419,86.718,2176155.276,1302.584,865.000,437.584,1.360,412404.941,375.000,160.000,215.000,1.358,333493.901,116.397,160.000,-43.603,1.883
1997Aug,2726849.363,2958.964,32.000,2926.964,1.418,86.699,2040469.043,2480.964,23.000,2457.964,1.368,372539.906,182.000,4.000,178.000,1.301,313840.414,296.000,5.000,291.000,1.895
1997Jul,2974076.883,2176.825,328.661,1848.164,1.370,86.613,2220906.405,1509.394,41.661,1467.733,1.318,404005.569,522.531,263.000,259.531,1.267,349164.909,144.900,24.000,120.900,1.839
1997Jun,2706687.687,3743.682,229.356,3514.326,1.529,86.554,2059530.749,3188.214,182.356,3005.858,1.508,349708.355,216.000,23.000,193.000,1.368,297448.582,339.467,24.000,315.467,1.855
1997May,2513035.480,1479.136,605.000,874.136,1.536,86.434,1898190.304,853.863,454.000,399.863,1.457,332890.733,528.273,66.000,462.273,1.480,281954.443,97.000,85.000,12.000,2.133
1997Apr,2463288.076,1223.063,343.000,880.063,1.529,86.403,1873758.193,1030.930,260.000,770.930,1.464,322006.079,99.133,42.000,57.133,1.371,267523.804,93.000,41.000,52.000,2.146
1997Mar,2408291.007,1917.744,179.861,1737.883,1.599,86.371,1831989.306,1606.409,159.861,1446.548,1.519,316092.965,148.000,10.000,138.000,1.548,260208.736,163.335,10.000,153.335,2.192
1997Feb,2367555.018,1533.522,892.452,641.070,1.555,86.308,1798911.721,475.620,681.452,-205.832,1.464,308039.288,227.382,110.000,117.382,1.568,260604.009,830.520,101.000,729.520,2.143
1997Jan,2267103.795,423.770,552.372,-128.602,1.563,86.284,1728367.469,363.770,68.491,295.279,1.515,293120.647,42.000,10.000,32.000,1.534,245615.679,18.000,473.881,-455.881,1.903
1996Dec,2102862.302,1800.784,527.965,1272.819,1.635,86.289,1607014.851,1385.042,410.965,974.077,1.608,265484.125,316.742,61.000,255.742,1.373,230363.325,98.999,56.000,42.999,2.143
1996Nov,2060565.814,14352.834,152.000,14200.834,1.841,86.236,1570536.971,10789.683,114.000,10675.683,1.750,263199.376,490.100,20.000,470.100,1.986,226829.467,3073.051,18.000,3055.051,2.268
1996Oct,1889278.464,2130.881,205.389,1925.492,1.193,85.592,1429328.520,638.193,164.389,473.804,1.071,247832.513,1441.688,18.000,1423.688,2.008,212117.431,51.000,23.000,28.000,1.035
1996Sep,1885050.491,617.443,228.305,389.138,1.221,85.505,1424818.136,558.393,167.305,391.088,1.177,248995.890,31.000,27.000,4.000,1.503,211236.465,28.050,34.000,-5.950,1.159
1996Aug,1808076.794,1174.439,263.000,911.439,1.254,85.486,1364475.175,1013.341,184.000,829.341,1.221,239700.455,57.298,33.000,24.298,1.504,203901.164,103.800,46.000,57.800,1.175
1996Jul,1778398.480,4361.697,171.000,4190.697,1.241,85.443,1338366.011,3758.238,101.000,3657.238,1.203,237118.339,468.360,52.000,416.360,1.511,202914.131,135.099,18.000,117.099,1.168
1996Jun,1862348.588,3076.874,359.000,2717.874,1.192,85.251,1416651.506,1787.019,264.000,1523.019,1.102,239978.753,453.110,43.000,410.110,1.681,205718.330,836.745,52.000,784.745,1.207
1996May,1847133.980,1693.116,1188.515,504.601,1.173,85.126,1401091.131,1291.449,907.515,383.934,1.123,242255.053,226.066,140.000,86.066,1.644,203787.796,175.600,141.000,34.600,0.934
1996Apr,1821132.067,2318.650,467.248,1851.402,1.266,85.102,1375145.548,1562.621,295.248,1267.373,1.207,241620.511,507.029,53.000,454.029,1.786,204366.008,249.000,119.000,130.000,1.025
1996Mar,1748059.260,915.781,399.137,516.644,1.241,85.012,1312272.841,677.557,339.137,338.420,1.194,235347.899,185.224,30.000,155.224,1.593,200438.520,53.000,30.000,23.000,1.107
1996Feb,1737244.324,840.437,212.066,628.371,1.231,84.987,1291764.697,643.598,158.066,485.532,1.190,239958.740,41.347,27.000,14.347,1.535,205520.887,155.492,27.000,128.492,1.120
1996Jan,1729643.669,1485.429,429.557,1055.872,1.275,84.956,1279286.988,1375.920,61.917,1314.003,1.253,241059.015,13.000,344.640,-331.640,1.558,209297.667,96.509,23.000,73.509,1.087
1995Dec,1616444.685,4362.680,173.792,4188.888,1.309,84.900,1188954.483,2499.569,130.792,2368.777,1.266,226459.723,1579.072,26.000,1553.072,1.749,201030.479,284.039,17.000,267.039,1.091
1995Nov,1583057.365,1747.284,49.024,1698.260,1.148,84.676,1173453.024,879.965,35.024,844.941,1.077,221072.749,461.419,6.000,455.419,1.172,188531.592,405.900,8.000,397.900,1.497
1995Oct,1534647.789,2203.103,184.000,2019.103,1.159,84.583,1136469.482,1736.403,131.000,1605.403,1.079,215247.758,185.000,24.000,161.000,1.231,182930.549,281.700,29.000,252.700,1.468
1995Sep,1565172.188,1010.205,136.000,874.205,1.275,84.474,1160955.681,947.865,105.000,842.865,1.213,218953.912,22.000,15.000,7.000,1.309,185262.595,40.340,16.000,24.340,1.538
1995Aug,1590942.264,1685.656,1085.120,600.536,1.353,84.427,1176084.561,1573.623,1051.120,522.503,1.224,224634.086,57.000,20.000,37.000,1.695,190223.618,55.033,14.000,41.033,1.658
1995Jul,1589973.138,3564.410,875.705,2688.705,1.446,84.395,1174439.307,2394.873,632.705,1762.168,1.335,225190.866,860.470,109.000,751.470,1.737,190342.966,309.067,134.000,175.067,1.715
1995Jun,1518746.386,2387.447,428.272,1959.175,1.567,84.246,1114497.378,1739.248,289.272,1449.976,1.535,220175.691,354.000,54.000,300.000,1.537,184073.316,294.199,85.000,209.199,1.778
1995May,1532298.538,1882.721,94.000,1788.721,1.769,84.139,1123843.107,1250.721,67.000,1183.721,1.900,224862.606,396.000,14.000,382.000,1.618,183592.826,236.000,13.000,223.000,1.270
1995Apr,1488499.913,1683.304,535.733,1147.571,1.761,84.038,1063820.596,1239.598,381.733,857.865,1.916,218108.503,89.000,84.000,5.000,1.535,206570.814,354.706,70.000,284.706,1.223
1995Mar,1424068.352,671.337,382.000,289.337,1.888,83.970,1019122.443,497.437,275.000,222.437,2.112,209717.647,69.800,53.000,16.800,1.523,195228.261,104.099,54.000,50.099,1.173
1995Feb,1429993.427,1221.970,62.000,1159.970,1.980,83.953,1007650.205,1080.453,44.000,1036.453,2.160,214675.992,73.000,9.000,64.000,1.888,207667.229,68.517,9.000,59.517,1.174
1995Jan,1464686.070,1519.029,31.000,1488.029,2.112,83.887,1035585.726,1331.029,21.000,1310.029,2.270,219920.296,96.000,5.000,91.000,2.045,209180.049,92.000,5.000,87.000,1.388
1994Dec,1500775.744,2160.655,572.679,1587.976,2.098,83.804,1060397.350,578.708,426.679,152.029,2.194,223133.714,419.571,121.000,298.571,2.154,217244.681,1162.377,25.000,1137.377,1.533
1994Nov,1500318.192,1902.283,102.000,1800.283,2.437,83.715,1064417.217,903.526,79.000,824.526,2.755,226780.713,609.903,11.000,598.903,2.097,209120.262,388.854,12.000,376.854,1.262
1994Oct,1490664.676,3736.267,127.235,3609.032,2.610,83.614,1069545.716,2951.798,96.235,2855.563,2.921,222036.088,344.540,20.000,324.540,2.567,199082.872,439.929,11.000,428.929,1.126
1994Sep,1479467.630,2226.838,145.000,2081.838,2.820,83.411,1056156.908,980.780,45.000,935.780,3.004,214564.256,919.057,49.000,870.057,3.486,208746.466,327.000,51.000,276.000,1.166
1994Aug,1568282.536,2038.945,43.000,1995.945,2.824,83.300,1131444.919,1724.245,22.000,1702.245,3.122,226351.108,137.700,9.000,128.700,3.104,210486.509,177.000,12.000,165.000,1.048
1994Jul,1544953.648,4728.810,417.000,4311.810,2.733,83.192,1105675.493,3958.620,283.000,3675.620,2.998,226101.316,367.190,55.000,312.190,3.117,213176.840,403.000,79.000,324.000,1.006
1994Jun,1451972.664,6648.783,1724.049,4924.734,2.516,82.946,1030534.892,5530.505,282.549,5247.956,2.740,215917.569,506.020,21.000,485.020,2.991,205520.204,612.258,1420.500,-808.242,0.907
1994May,1510396.499,2184.678,405.000,1779.678,2.251,82.677,1073731.494,1694.000,271.000,1423.000,2.287,227209.758,297.456,76.000,221.456,2.854,209455.248,193.222,58.000,135.222,1.443
1994Apr,1579309.940,3490.097,367.000,3123.097,2.431,82.584,1120009.451,3007.927,72.000,2935.927,2.495,238774.927,272.170,294.000,-21.830,2.942,220525.563,210.000,1.000,209.000,1.614
1994Mar,1516136.886,2568.716,876.036,1692.680,2.314,82.414,1061938.649,1442.617,697.036,745.581,2.289,237682.834,984.370,89.000,895.370,3.123,216515.403,141.729,90.000,51.729,1.602
1994Feb,1531200.763,3353.796,89.000,3264.796,2.342,82.323,1079348.979,2338.962,41.000,2297.962,2.327,243997.850,488.234,39.000,449.234,2.884,207853.935,526.600,9.000,517.600,1.855
1994Jan,1564559.690,1456.932,174.000,1282.932,2.133,82.151,1104491.827,610.802,110.000,500.802,2.111,244414.964,386.080,24.000,362.080,2.702,215652.899,460.050,40.000,420.050,1.644
1993Dec,1504392.571,6198.989,140.124,6058.865,2.078,82.081,1030018.764,5386.943,104.000,5282.943,2.111,245274.217,189.966,19.000,170.966,2.545,229099.590,622.080,17.124,604.956,1.459
1993Nov,1383341.415,4163.603,168.297,3995.306,1.726,81.723,937040.374,2354.480,137.297,2217.183,1.638,226335.127,1671.123,16.000,1655.123,2.617,219965.914,138.000,15.000,123.000,1.183
1993Oct,1378548.918,5911.301,47.000,5864.301,1.454,81.487,929490.320,3114.261,23.000,3091.261,1.421,226314.777,2269.940,15.000,2254.940,1.897,222743.821,527.100,9.000,518.100,1.125
1993Sep,1305293.109,1904.727,67.124,1837.603,1.086,81.123,878950.224,1821.727,43.099,1778.628,1.140,214937.407,40.000,11.000,29.000,0.847,211405.478,43.000,13.025,29.975,1.113
1993Aug,1341630.767,618.539,119.000,499.539,0.990,81.012,905422.178,363.185,78.000,285.185,0.984,221568.725,172.114,29.000,143.114,0.879,214639.865,83.240,12.000,71.240,1.139
1993Jul,1246220.810,1125.170,119.000,1006.170,0.994,80.979,845514.274,949.793,97.000,852.793,0.994,205023.908,54.840,11.000,43.840,0.853,195682.627,120.537,11.000,109.537,1.151
1993Jun,1186647.180,1360.464,588.000,772.464,0.958,80.911,805310.132,918.624,563.000,355.624,0.942,195247.247,171.000,16.000,155.000,0.883,186089.800,270.840,9.000,261.840,1.111
1993May,1152436.807,3332.399,35.318,3297.081,1.036,80.857,776568.887,2578.847,32.318,2546.529,1.033,192885.377,336.952,2.000,334.952,0.958,182982.543,416.600,1.000,415.600,1.138
1993Apr,1140433.736,1183.000,124.000,1059.000,0.960,80.623,771673.188,673.000,81.000,592.000,0.951,188232.908,338.000,22.000,316.000,0.882,180527.640,172.000,21.000,151.000,1.070
1993Mar,1154155.771,1866.260,317.069,1549.191,0.960,80.550,785155.940,1099.462,290.069,809.393,0.926,190041.682,266.030,14.000,252.030,0.939,178958.150,500.768,13.000,487.768,1.138
1993Feb,1125174.418,516.930,479.891,37.039,0.924,80.439,760320.094,326.610,353.891,-27.281,0.852,187341.176,87.000,75.000,12.000,1.294,177513.147,103.320,51.000,52.320,0.890
1993Jan,1053472.780,454.367,125.168,329.199,1.054,80.436,714141.937,418.047,80.168,337.879,1.006,175165.181,22.320,32.000,-9.680,1.383,164165.662,14.000,13.000,1.000,0.957
1992Dec,1028408.285,1114.017,175.298,938.719,1.025,80.410,702423.462,795.953,111.298,684.655,0.958,169968.292,287.064,37.000,250.064,1.422,156016.532,31.000,27.000,4.000,0.939
1992Nov,1021933.719,325.091,117.298,207.793,1.027,80.336,699508.135,242.277,72.298,169.979,0.927,171642.964,68.814,28.000,40.814,1.338,150782.620,14.000,17.000,-3.000,1.196
1992Oct,1000179.582,890.971,57.298,833.673,1.072,80.320,684822.160,554.807,52.298,502.509,0.952,167154.473,14.784,2.000,12.784,1.482,148202.949,321.380,3.000,318.380,1.231
1992Sep,975364.764,422.195,1.330,420.865,1.107,80.251,678539.680,294.539,0.330,294.209,0.946,160385.487,71.656,0.000,71.656,1.835,136439.597,56.000,1.000,55.000,1.127
1992Aug,1007544.081,550.072,82.330,467.742,1.207,80.218,708654.899,383.072,57.330,325.742,0.970,160504.740,86.000,13.000,73.000,1.837,138384.441,81.000,12.000,69.000,1.705
1992Jul,1051774.913,689.186,136.330,552.856,1.201,80.182,742568.273,525.639,95.330,430.309,0.955,164130.981,113.350,23.000,90.350,1.872,145075.659,50.197,18.000,32.197,1.698
1992Jun,1131024.628,1997.856,299.327,1698.529,1.366,80.143,794876.400,1340.566,205.327,1135.239,0.991,173919.200,328.290,51.000,277.290,2.746,162229.028,329.000,43.000,286.000,1.765
1992May,1179663.639,2520.792,60.327,2460.465,1.427,80.028,832295.025,2057.550,48.327,2009.223,1.090,179198.155,189.000,6.000,183.000,2.671,168170.459,274.242,6.000,268.242,1.782
1992Apr,1153073.462,1267.629,220.327,1047.302,1.313,79.857,809768.766,565.660,158.327,407.333,0.937,178606.426,421.370,33.000,388.370,2.665,164698.270,280.599,29.000,251.599,1.744
1992Mar,1138685.709,1189.653,9.767,1179.886,1.338,79.784,798385.666,276.668,9.767,266.901,1.016,174148.032,863.985,0.000,863.985,2.530,166152.011,49.000,0.000,49.000,1.675
1992Feb,1157809.382,1511.305,16.767,1494.538,1.269,79.703,808455.442,1176.670,14.767,1161.903,0.991,177514.953,167.035,1.000,166.035,2.120,171838.987,167.600,1.000,166.600,1.743
1992Jan,1126006.842,418.115,388.767,29.348,1.131,79.597,781494.438,307.080,304.767,2.313,0.826,175629.576,95.035,41.000,54.035,2.044,168882.829,16.000,43.000,-27.000,1.666
1991Dec,1068377.828,1106.922,88.000,1018.922,1.145,79.595,746324.992,540.174,31.000,509.174,0.834,164077.021,153.959,49.000,104.959,2.030,157975.815,412.789,8.000,404.789,1.735
1991Nov,1076219.259,753.361,50.000,703.361,1.043,79.519,752513.258,411.758,33.000,378.758,0.738,166468.051,282.279,8.000,274.279,2.126,157237.950,59.325,9.000,50.325,1.395
1991Oct,1081274.025,1337.589,9.000,1328.589,1.079,79.468,762457.099,527.140,0.000,527.140,0.774,164696.127,606.379,9.000,597.379,2.078,154120.800,204.070,0.000,204.070,1.517
1991Sep,1103614.326,1761.453,162.798,1598.655,1.121,79.372,778789.717,673.820,149.798,524.022,0.818,167916.359,85.133,5.000,80.133,2.164,156908.250,1002.500,8.000,994.500,1.500
1991Aug,1135067.009,572.667,138.798,433.869,1.120,79.261,800407.607,364.837,134.798,230.039,0.875,171999.244,136.830,2.000,134.830,2.343,162660.158,71.000,2.000,69.000,1.021
1991Jul,1128354.771,2613.325,206.798,2406.527,1.184,79.230,789064.875,878.055,168.798,709.257,0.927,171149.094,1577.269,26.000,1551.269,2.334,168140.802,158.000,12.000,146.000,1.207
1991Jun,1136424.858,2627.242,234.000,2393.242,1.078,79.063,795298.043,2051.497,142.000,1909.497,0.932,170361.449,202.174,57.000,145.174,1.534,170765.366,373.571,35.000,338.571,1.277
1991May,1169886.358,1157.085,19.000,1138.085,1.199,78.901,811077.318,768.415,11.000,757.415,0.839,177398.875,170.450,5.000,165.450,1.845,181410.165,218.220,3.000,215.220,2.186
1991Apr,1136529.455,1312.659,25.000,1287.659,1.252,78.822,792618.925,1008.917,16.000,992.917,0.884,172221.751,157.823,5.000,152.823,1.994,171688.778,145.919,4.000,141.919,2.182
1991Mar,1104450.886,790.801,420.465,370.336,1.320,78.731,766561.469,447.883,384.390,63.493,0.924,167831.571,179.452,36.075,143.377,2.121,170057.846,163.466,0.000,163.466,2.322
1991Feb,1081357.966,445.393,485.465,-40.072,1.452,78.704,742507.372,293.941,399.390,-105.449,1.049,168560.714,113.452,82.075,31.377,2.396,170289.881,38.000,4.000,34.000,2.344
1991Jan,988574.523,658.158,490.465,167.693,1.654,78.707,680856.838,489.706,430.390,59.316,1.299,153751.870,76.452,47.075,29.377,2.484,153965.815,92.000,13.000,79.000,2.438
1990Dec,998834.343,645.246,715.000,-69.754,,78.694,692682.695,290.022,483.000,-192.978,,153159.302,349.224,107.000,242.224,,152992.347,6.000,125.000,-119.000,
1990Nov,1012427.769,1057.986,18.000,1039.986,,78.699,705425.761,622.720,12.000,610.720,,153789.600,190.615,3.000,187.615,,153212.409,244.650,3.000,241.650,
1990Oct,1030483.339,1634.446,26.000,1608.446,,78.620,714567.778,776.055,14.000,762.055,,157127.708,682.942,8.000,674.942,,158787.853,175.449,4.000,171.449,
1990Sep,992515.173,1673.613,101.316,1572.297,,78.492,688241.276,1031.148,77.316,953.832,,153385.142,394.938,14.000,380.938,,150888.755,247.527,10.000,237.527,
1990Aug,1125766.386,1340.175,50.316,1289.859,,78.383,779510.789,746.775,43.316,703.459,,172069.103,141.000,5.000,136.000,,174186.493,452.400,2.000,450.400,
1990Jul,1266699.586,1503.730,159.316,1344.414,,78.303,875025.595,938.120,119.316,818.804,,192039.145,246.528,19.000,227.528,,199634.846,319.083,21.000,298.083,
1990Jun,1249760.988,3985.553,1.000,3984.553,,78.219,869420.941,1234.303,0.000,1234.303,,187010.740,711.204,1.000,710.204,,193329.306,2040.046,0.000,2040.046,
1990May,1228472.444,1817.430,0.000,1817.430,,77.966,857487.127,1170.650,0.000,1170.650,,183178.990,434.280,0.000,434.280,,187806.327,212.500,0.000,212.500,
1990Apr,1194230.699,2273.441,1.000,2272.441,,77.848,839694.807,1468.831,0.000,1468.831,,178985.281,403.228,1.000,402.228,,175550.611,401.383,0.000,401.383,
1990Mar,1236123.408,1963.145,36.110,1927.035,,77.705,868457.979,1126.525,34.110,1092.415,,186100.298,636.520,2.000,634.520,,181565.132,200.099,0.000,200.099,
